grid_name,teff,tinner,number,odep,mdot,vexp
Oss-Orich-bb,2600,1000,1,0.1,1.4e-06,17.3
Oss-Orich-bb,2600,1000,2,0.106,1.48e-06,17.4
Oss-Orich-bb,2600,1000,3,0.113,1.55e-06,17.5
Oss-Orich-bb,2600,1000,4,0.121,1.63e-06,17.6
Oss-Orich-bb,2600,1000,5,0.129,1.74e-06,17.8
Oss-Orich-bb,2600,1000,6,0.137,1.83e-06,17.9
Oss-Orich-bb,2600,1000,7,0.146,1.92e-06,18.0
Oss-Orich-bb,2600,1000,8,0.155,2.02e-06,18.0
Oss-Orich-bb,2600,1000,9,0.165,2.12e-06,18.1
Oss-Orich-bb,2600,1000,10,0.176,2.23e-06,18.2
Oss-Orich-bb,2600,1000,11,0.187,2.35e-06,18.2
Oss-Orich-bb,2600,1000,12,0.199,2.47e-06,18.2
Oss-Orich-bb,2600,1000,13,0.212,2.59e-06,18.2
Oss-Orich-bb,2600,1000,14,0.226,2.73e-06,18.3
Oss-Orich-bb,2600,1000,15,0.241,2.86e-06,18.2
Oss-Orich-bb,2600,1000,16,0.256,3.01e-06,18.2
Oss-Orich-bb,2600,1000,17,0.273,3.16e-06,18.2
Oss-Orich-bb,2600,1000,18,0.291,3.32e-06,18.1
Oss-Orich-bb,2600,1000,19,0.31,3.49e-06,18.1
Oss-Orich-bb,2600,1000,20,0.33,3.66e-06,18.0
Oss-Orich-bb,2600,1000,21,0.351,3.84e-06,17.9
Oss-Orich-bb,2600,1000,22,0.374,4.03e-06,17.8
Oss-Orich-bb,2600,1000,23,0.398,4.23e-06,17.7
Oss-Orich-bb,2600,1000,24,0.424,4.44e-06,17.5
Oss-Orich-bb,2600,1000,25,0.451,4.65e-06,17.4
Oss-Orich-bb,2600,1000,26,0.48,4.88e-06,17.2
Oss-Orich-bb,2600,1000,27,0.511,5.11e-06,17.0
Oss-Orich-bb,2600,1000,28,0.545,5.35e-06,16.9
Oss-Orich-bb,2600,1000,29,0.58,5.61e-06,16.6
Oss-Orich-bb,2600,1000,30,0.617,5.87e-06,16.4
Oss-Orich-bb,2600,1000,31,0.657,6.14e-06,16.2
Oss-Orich-bb,2600,1000,32,0.7,6.42e-06,15.9
Oss-Orich-bb,2600,1000,33,0.745,6.72e-06,15.7
Oss-Orich-bb,2600,1000,34,0.794,7.02e-06,15.4
Oss-Orich-bb,2600,1000,35,0.845,7.34e-06,15.1
Oss-Orich-bb,2600,1000,36,0.9,7.66e-06,14.8
Oss-Orich-bb,2600,1000,37,0.958,8e-06,14.5
Oss-Orich-bb,2600,1000,38,1.02,8.34e-06,14.2
Oss-Orich-bb,2600,1000,39,1.09,8.72e-06,13.9
Oss-Orich-bb,2600,1000,40,1.16,9.15e-06,13.7
Oss-Orich-bb,2600,1000,41,1.23,9.6e-06,13.5
Oss-Orich-bb,2600,1000,42,1.31,1.01e-05,13.3
Oss-Orich-bb,2600,1000,43,1.4,1.06e-05,13.1
Oss-Orich-bb,2600,1000,44,1.49,1.11e-05,12.9
Oss-Orich-bb,2600,1000,45,1.58,1.15e-05,12.7
Oss-Orich-bb,2600,1000,46,1.69,1.2e-05,12.5
Oss-Orich-bb,2600,1000,47,1.8,1.26e-05,12.3
Oss-Orich-bb,2600,1000,48,1.91,1.33e-05,12.1
Oss-Orich-bb,2600,1000,49,2.04,1.4e-05,11.9
Oss-Orich-bb,2600,1000,50,2.17,1.46e-05,11.7
Oss-Orich-bb,2600,1000,51,2.31,1.53e-05,11.5
Oss-Orich-bb,2600,1000,52,2.46,1.61e-05,11.3
Oss-Orich-bb,2600,1000,53,2.62,1.69e-05,11.1
Oss-Orich-bb,2600,1000,54,2.79,1.77e-05,10.9
Oss-Orich-bb,2600,1000,55,2.97,1.85e-05,10.8
Oss-Orich-bb,2600,1000,56,3.16,1.92e-05,10.6
Oss-Orich-bb,2600,1000,57,3.36,2.01e-05,10.5
Oss-Orich-bb,2600,1000,58,3.58,2.11e-05,10.3
Oss-Orich-bb,2600,1000,59,3.81,2.22e-05,10.1
Oss-Orich-bb,2600,1000,60,4.06,2.32e-05,9.99
Oss-Orich-bb,2600,1000,61,4.32,2.44e-05,9.84
Oss-Orich-bb,2600,1000,62,4.6,2.58e-05,9.78
Oss-Orich-bb,2600,1000,63,4.9,2.7e-05,9.64
Oss-Orich-bb,2600,1000,64,5.22,2.83e-05,9.75
Oss-Orich-bb,2600,1000,65,5.56,2.97e-05,9.63
Oss-Orich-bb,2600,1000,66,5.92,3.12e-05,9.51
Oss-Orich-bb,2600,1000,67,6.3,3.28e-05,9.39
Oss-Orich-bb,2600,1000,68,6.71,3.44e-05,9.28
Oss-Orich-bb,2600,1000,69,7.14,3.62e-05,9.18
Oss-Orich-bb,2600,1000,70,7.61,3.8e-05,9.07
Oss-Orich-bb,2600,1000,71,8.1,4e-05,8.98
Oss-Orich-bb,2600,1000,72,8.62,4.2e-05,8.88
Oss-Orich-bb,2600,1000,73,9.18,4.36e-05,8.84
Oss-Orich-bb,2600,1000,74,9.78,4.59e-05,8.75
Oss-Orich-bb,2600,1000,75,10.4,4.84e-05,8.66
Oss-Orich-bb,2600,1000,76,11.1,5.1e-05,8.58
Oss-Orich-bb,2600,1000,77,11.8,5.38e-05,8.5
Oss-Orich-bb,2600,1000,78,12.6,5.67e-05,8.42
Oss-Orich-bb,2600,1000,79,13.4,5.99e-05,8.33
Oss-Orich-bb,2600,1000,80,14.2,6.33e-05,8.26
Oss-Orich-bb,2600,1000,81,15.2,6.68e-05,8.18
