grid_name,teff,tinner,number,odep,mdot,vexp
Zubko-Crich-bb,2600,1000,1,0.1,7.43e-06,17.1
Zubko-Crich-bb,2600,1000,2,0.106,7.74e-06,16.9
Zubko-Crich-bb,2600,1000,3,0.113,8.07e-06,16.7
Zubko-Crich-bb,2600,1000,4,0.121,8.41e-06,16.4
Zubko-Crich-bb,2600,1000,5,0.129,8.76e-06,16.2
Zubko-Crich-bb,2600,1000,6,0.137,9.13e-06,16.0
Zubko-Crich-bb,2600,1000,7,0.146,9.52e-06,15.8
Zubko-Crich-bb,2600,1000,8,0.155,9.93e-06,15.5
Zubko-Crich-bb,2600,1000,9,0.165,1.03e-05,15.3
Zubko-Crich-bb,2600,1000,10,0.176,1.08e-05,15.1
Zubko-Crich-bb,2600,1000,11,0.187,1.12e-05,14.9
Zubko-Crich-bb,2600,1000,12,0.199,1.17e-05,14.7
Zubko-Crich-bb,2600,1000,13,0.212,1.22e-05,14.5
Zubko-Crich-bb,2600,1000,14,0.226,1.27e-05,14.3
Zubko-Crich-bb,2600,1000,15,0.241,1.33e-05,14.1
Zubko-Crich-bb,2600,1000,16,0.256,1.39e-05,13.9
Zubko-Crich-bb,2600,1000,17,0.273,1.45e-05,13.7
Zubko-Crich-bb,2600,1000,18,0.291,1.51e-05,13.5
Zubko-Crich-bb,2600,1000,19,0.31,1.58e-05,13.3
Zubko-Crich-bb,2600,1000,20,0.33,1.64e-05,13.1
Zubko-Crich-bb,2600,1000,21,0.351,1.72e-05,13.0
Zubko-Crich-bb,2600,1000,22,0.374,1.79e-05,12.8
Zubko-Crich-bb,2600,1000,23,0.398,1.87e-05,12.6
Zubko-Crich-bb,2600,1000,24,0.424,1.96e-05,12.4
Zubko-Crich-bb,2600,1000,25,0.451,2.04e-05,12.3
Zubko-Crich-bb,2600,1000,26,0.48,2.14e-05,12.1
Zubko-Crich-bb,2600,1000,27,0.511,2.24e-05,11.9
Zubko-Crich-bb,2600,1000,28,0.545,2.34e-05,11.8
Zubko-Crich-bb,2600,1000,29,0.58,2.45e-05,11.6
Zubko-Crich-bb,2600,1000,30,0.617,2.56e-05,11.5
Zubko-Crich-bb,2600,1000,31,0.657,2.68e-05,11.3
Zubko-Crich-bb,2600,1000,32,0.7,2.81e-05,11.1
Zubko-Crich-bb,2600,1000,33,0.745,2.94e-05,11.0
Zubko-Crich-bb,2600,1000,34,0.794,3.05e-05,10.9
Zubko-Crich-bb,2600,1000,35,0.845,3.2e-05,10.7
Zubko-Crich-bb,2600,1000,36,0.9,3.36e-05,10.6
Zubko-Crich-bb,2600,1000,37,0.958,3.53e-05,10.4
Zubko-Crich-bb,2600,1000,38,1.02,3.73e-05,10.4
Zubko-Crich-bb,2600,1000,39,1.09,3.92e-05,10.2
Zubko-Crich-bb,2600,1000,40,1.16,4.12e-05,10.1
Zubko-Crich-bb,2600,1000,41,1.23,4.33e-05,9.97
Zubko-Crich-bb,2600,1000,42,1.31,4.55e-05,9.83
Zubko-Crich-bb,2600,1000,43,1.4,4.79e-05,9.7
Zubko-Crich-bb,2600,1000,44,1.49,5.05e-05,9.56
Zubko-Crich-bb,2600,1000,45,1.58,5.32e-05,9.42
Zubko-Crich-bb,2600,1000,46,1.69,5.53e-05,9.31
Zubko-Crich-bb,2600,1000,47,1.8,5.83e-05,9.18
Zubko-Crich-bb,2600,1000,48,1.91,6.14e-05,9.09
Zubko-Crich-bb,2600,1000,49,2.04,6.48e-05,8.96
Zubko-Crich-bb,2600,1000,50,2.17,6.85e-05,8.83
Zubko-Crich-bb,2600,1000,51,2.31,7.3e-05,8.76
Zubko-Crich-bb,2600,1000,52,2.46,7.72e-05,8.63
Zubko-Crich-bb,2600,1000,53,2.62,8.15e-05,8.73
Zubko-Crich-bb,2600,1000,54,2.79,8.63e-05,8.6
Zubko-Crich-bb,2600,1000,55,2.97,9.14e-05,8.47
Zubko-Crich-bb,2600,1000,56,3.16,9.68e-05,8.35
Zubko-Crich-bb,2600,1000,57,3.36,0.000103,8.23
Zubko-Crich-bb,2600,1000,58,3.58,0.000109,8.1
