 ===========================
  Output from program Dusty 
  Version: 2.0
 ===========================
  
  INPUT parameters from file:
  aringerOkmh_3000_600.inp                                              
  
* ----------------------------------------------------------------------
* NOTES:
* This is a simple version of an input file producing a minimal output.
* ----------------------------------------------------------------------
  Stellar spectrum supplied from file:
  aringerO_3000_resampled.dat                                           
  --------------------------------------------
  Abundances for supported grains:
  Sil-Ow Sil-Oc Sil-DL grf-DL amC-Hn SiC-Pg
  1.000  0.000  0.000  0.000  0.000  0.000
  KMH size distribution:
       Power q:  3.5
  Minimal size: 1.00E-02 microns
  Characteristic size: 1.00E+00 microns
  --------------------------------------------
  Dust temperature on the inner boundary: 600  K
  --------------------------------------------
  Density for radiatively driven winds from
  full dynamic calculation.
  Relative thickness: 1.000E+04
  --------------------------------------------
  Optical depths at 1.0E+01 microns
  ranging from 1.00E-01 to 5.00E+01
  100 models with logarithmic grid           
  Required accuracy: 5%
  --------------------------------------------
  
  ====================================================  
  For compliance with the point-source assumption, the
  following results should only be applied to sources 
  whose effective temperature exceeds 1500 K.
  ====================================================
          
  RESULTS:
  --------
 ###   tau0   F1(W/m2)  r1(cm)    r1/rc   theta1  Td(Y) err   Mdot      Ve       M> 
 ###     1        2        3        4        5      6    7      8        9       10 
 ======================================================================================
   1 1.00E-01 1.58E+04 4.39E+14 1.89E+02 3.28E+00   17   0  2.00E-06 9.78E+00 1.11E+00
   2 1.06E-01 1.57E+04 4.41E+14 1.90E+02 3.29E+00   17   0  2.10E-06 9.85E+00 1.14E+00
   3 1.13E-01 1.56E+04 4.43E+14 1.91E+02 3.30E+00   17   0  2.21E-06 9.92E+00 1.17E+00
   4 1.21E-01 1.55E+04 4.45E+14 1.92E+02 3.32E+00   17   0  2.33E-06 9.99E+00 1.19E+00
   5 1.29E-01 1.53E+04 4.47E+14 1.92E+02 3.33E+00   17   0  2.45E-06 1.01E+01 1.22E+00
   6 1.37E-01 1.52E+04 4.49E+14 1.93E+02 3.35E+00   17   0  2.58E-06 1.01E+01 1.24E+00
   7 1.46E-01 1.51E+04 4.51E+14 1.94E+02 3.36E+00   17   0  2.71E-06 1.02E+01 1.27E+00
   8 1.55E-01 1.49E+04 4.53E+14 1.95E+02 3.38E+00   17   0  2.85E-06 1.02E+01 1.29E+00
   9 1.65E-01 1.48E+04 4.55E+14 1.96E+02 3.40E+00   17   0  3.00E-06 1.03E+01 1.32E+00
  10 1.76E-01 1.46E+04 4.58E+14 1.97E+02 3.41E+00   17   0  3.16E-06 1.03E+01 1.34E+00
  11 1.87E-01 1.44E+04 4.60E+14 1.98E+02 3.43E+00   17   0  3.33E-06 1.03E+01 1.37E+00
  12 1.99E-01 1.43E+04 4.63E+14 1.99E+02 3.45E+00   17   0  3.50E-06 1.04E+01 1.39E+00
  13 2.12E-01 1.41E+04 4.66E+14 2.01E+02 3.47E+00   17   0  3.68E-06 1.04E+01 1.42E+00
  14 2.26E-01 1.39E+04 4.69E+14 2.02E+02 3.50E+00   17   0  3.88E-06 1.04E+01 1.44E+00
  15 2.41E-01 1.37E+04 4.72E+14 2.03E+02 3.52E+00   17   0  4.08E-06 1.04E+01 1.46E+00
  16 2.56E-01 1.36E+04 4.75E+14 2.05E+02 3.54E+00   17   0  4.29E-06 1.04E+01 1.49E+00
  17 2.73E-01 1.34E+04 4.78E+14 2.06E+02 3.57E+00   17   0  4.52E-06 1.04E+01 1.51E+00
  18 2.91E-01 1.32E+04 4.82E+14 2.07E+02 3.59E+00   17   0  4.75E-06 1.04E+01 1.53E+00
  19 3.10E-01 1.30E+04 4.85E+14 2.09E+02 3.62E+00   17   0  5.00E-06 1.04E+01 1.55E+00
  20 3.30E-01 1.27E+04 4.90E+14 2.11E+02 3.66E+00   17   0  5.32E-06 1.04E+01 1.57E+00
  21 3.51E-01 1.25E+04 4.94E+14 2.13E+02 3.69E+00   16   0  5.60E-06 1.04E+01 1.59E+00
  22 3.74E-01 1.23E+04 4.98E+14 2.15E+02 3.72E+00   16   0  5.89E-06 1.03E+01 1.61E+00
  23 3.98E-01 1.21E+04 5.02E+14 2.16E+02 3.75E+00   16   0  6.19E-06 1.03E+01 1.62E+00
  24 4.24E-01 1.19E+04 5.06E+14 2.18E+02 3.78E+00   16   0  6.51E-06 1.02E+01 1.64E+00
  25 4.51E-01 1.17E+04 5.11E+14 2.20E+02 3.81E+00   16   0  6.84E-06 1.01E+01 1.65E+00
  26 4.80E-01 1.15E+04 5.15E+14 2.22E+02 3.85E+00   16   0  7.19E-06 1.01E+01 1.66E+00
  27 5.11E-01 1.13E+04 5.20E+14 2.24E+02 3.88E+00   16   0  7.55E-06 9.97E+00 1.67E+00
  28 5.45E-01 1.11E+04 5.25E+14 2.26E+02 3.92E+00   16   0  7.93E-06 9.88E+00 1.68E+00
  29 5.80E-01 1.09E+04 5.30E+14 2.28E+02 3.95E+00   16   0  8.32E-06 9.77E+00 1.68E+00
  30 6.17E-01 1.07E+04 5.35E+14 2.30E+02 3.99E+00   16   0  8.73E-06 9.66E+00 1.69E+00
  31 6.57E-01 1.05E+04 5.40E+14 2.32E+02 4.03E+00   16   0  9.16E-06 9.55E+00 1.69E+00
  32 7.00E-01 1.03E+04 5.45E+14 2.35E+02 4.06E+00   16   0  9.61E-06 9.42E+00 1.70E+00
  33 7.45E-01 1.01E+04 5.50E+14 2.37E+02 4.10E+00   16   0  1.01E-05 9.29E+00 1.70E+00
  34 7.94E-01 9.92E+03 5.55E+14 2.39E+02 4.14E+00   15   0  1.06E-05 9.15E+00 1.69E+00
  35 8.45E-01 9.73E+03 5.61E+14 2.42E+02 4.18E+00   15   0  1.11E-05 9.00E+00 1.69E+00
  36 9.00E-01 9.54E+03 5.66E+14 2.44E+02 4.22E+00   15   0  1.16E-05 8.85E+00 1.69E+00
  37 9.58E-01 9.35E+03 5.72E+14 2.46E+02 4.27E+00   15   0  1.21E-05 8.70E+00 1.68E+00
  38 1.02E+00 9.17E+03 5.78E+14 2.49E+02 4.31E+00   15   0  1.27E-05 8.54E+00 1.67E+00
  39 1.09E+00 8.99E+03 5.83E+14 2.51E+02 4.35E+00   15   0  1.33E-05 8.38E+00 1.67E+00
  40 1.16E+00 8.81E+03 5.89E+14 2.54E+02 4.40E+00   15   0  1.39E-05 8.21E+00 1.66E+00
  41 1.23E+00 8.64E+03 5.95E+14 2.56E+02 4.44E+00   15   0  1.46E-05 8.05E+00 1.65E+00
  42 1.31E+00 8.46E+03 6.01E+14 2.59E+02 4.49E+00   15   0  1.53E-05 7.93E+00 1.64E+00
  43 1.40E+00 8.29E+03 6.07E+14 2.62E+02 4.53E+00   15   0  1.61E-05 7.84E+00 1.64E+00
  44 1.49E+00 8.12E+03 6.14E+14 2.64E+02 4.58E+00   15   0  1.69E-05 7.75E+00 1.63E+00
  45 1.58E+00 7.95E+03 6.20E+14 2.67E+02 4.63E+00   15   0  1.78E-05 7.67E+00 1.62E+00
  46 1.69E+00 7.78E+03 6.27E+14 2.70E+02 4.68E+00   15   0  1.88E-05 7.58E+00 1.62E+00
  47 1.80E+00 7.62E+03 6.33E+14 2.73E+02 4.73E+00   14   0  1.97E-05 7.50E+00 1.61E+00
  48 1.91E+00 7.46E+03 6.40E+14 2.76E+02 4.78E+00   14   0  2.08E-05 7.42E+00 1.60E+00
  49 2.04E+00 7.30E+03 6.47E+14 2.79E+02 4.83E+00   14   0  2.19E-05 7.34E+00 1.60E+00
  50 2.17E+00 7.14E+03 6.55E+14 2.82E+02 4.88E+00   14   0  2.30E-05 7.26E+00 1.59E+00
  51 2.31E+00 6.98E+03 6.62E+14 2.85E+02 4.94E+00   14   0  2.43E-05 7.19E+00 1.58E+00
  52 2.46E+00 6.82E+03 6.70E+14 2.88E+02 5.00E+00   14   0  2.56E-05 7.11E+00 1.57E+00
  53 2.62E+00 6.66E+03 6.77E+14 2.92E+02 5.05E+00   14   0  2.69E-05 7.04E+00 1.56E+00
  54 2.79E+00 6.51E+03 6.85E+14 2.95E+02 5.11E+00   14   0  2.84E-05 6.97E+00 1.56E+00
  55 2.97E+00 6.36E+03 6.94E+14 2.99E+02 5.18E+00   14   0  2.99E-05 6.90E+00 1.55E+00
  56 3.16E+00 6.20E+03 7.02E+14 3.02E+02 5.24E+00   14   0  3.16E-05 6.84E+00 1.54E+00
  57 3.36E+00 6.05E+03 7.11E+14 3.06E+02 5.31E+00   14   0  3.33E-05 6.77E+00 1.53E+00
  58 3.58E+00 5.90E+03 7.20E+14 3.10E+02 5.37E+00   14   0  3.52E-05 6.70E+00 1.52E+00
  59 3.81E+00 5.79E+03 7.27E+14 3.13E+02 5.42E+00   14   0  3.66E-05 6.66E+00 1.52E+00
  60 4.06E+00 5.64E+03 7.36E+14 3.17E+02 5.49E+00   13   0  3.87E-05 6.59E+00 1.51E+00
  61 4.32E+00 5.49E+03 7.46E+14 3.21E+02 5.57E+00   13   0  4.09E-05 6.52E+00 1.50E+00
  62 4.60E+00 5.34E+03 7.57E+14 3.26E+02 5.65E+00   13   0  4.33E-05 6.46E+00 1.50E+00
  63 4.90E+00 5.16E+03 7.70E+14 3.32E+02 5.74E+00   13   0  4.62E-05 6.42E+00 1.48E+00
  64 5.22E+00 5.01E+03 7.81E+14 3.36E+02 5.83E+00   13   0  4.88E-05 6.36E+00 1.48E+00
  65 5.56E+00 4.87E+03 7.93E+14 3.41E+02 5.91E+00   13   0  5.17E-05 6.29E+00 1.47E+00
  66 5.92E+00 4.72E+03 8.05E+14 3.47E+02 6.00E+00   13   0  5.48E-05 6.23E+00 1.47E+00
  67 6.30E+00 4.58E+03 8.17E+14 3.52E+02 6.10E+00   13   0  5.80E-05 6.17E+00 1.46E+00
  68 6.71E+00 4.44E+03 8.30E+14 3.58E+02 6.19E+00   13   0  6.15E-05 6.11E+00 1.45E+00
  69 7.14E+00 4.30E+03 8.44E+14 3.63E+02 6.29E+00   13   0  6.52E-05 6.05E+00 1.45E+00
  70 7.61E+00 4.16E+03 8.58E+14 3.69E+02 6.40E+00   12   0  6.92E-05 5.98E+00 1.44E+00
  71 8.10E+00 4.06E+03 8.68E+14 3.74E+02 6.48E+00   12   0  7.24E-05 5.93E+00 1.44E+00
  72 8.62E+00 3.92E+03 8.83E+14 3.80E+02 6.59E+00   12   0  7.69E-05 5.87E+00 1.44E+00
  73 9.18E+00 3.79E+03 8.99E+14 3.87E+02 6.71E+00   12   0  8.17E-05 5.81E+00 1.43E+00
