grid_name,teff,tinner,number,odep,mdot,vexp
corundum-20-bb,2600,1000,1,0.1,1.71e-06,16.2
corundum-20-bb,2600,1000,2,0.106,1.82e-06,16.4
corundum-20-bb,2600,1000,3,0.113,1.92e-06,16.4
corundum-20-bb,2600,1000,4,0.121,2.01e-06,16.5
corundum-20-bb,2600,1000,5,0.129,2.12e-06,16.5
corundum-20-bb,2600,1000,6,0.137,2.22e-06,16.6
corundum-20-bb,2600,1000,7,0.146,2.34e-06,16.6
corundum-20-bb,2600,1000,8,0.155,2.45e-06,16.6
corundum-20-bb,2600,1000,9,0.165,2.58e-06,16.6
corundum-20-bb,2600,1000,10,0.176,2.71e-06,16.6
corundum-20-bb,2600,1000,11,0.187,2.84e-06,16.6
corundum-20-bb,2600,1000,12,0.199,2.99e-06,16.6
corundum-20-bb,2600,1000,13,0.212,3.13e-06,16.6
corundum-20-bb,2600,1000,14,0.226,3.29e-06,16.5
corundum-20-bb,2600,1000,15,0.241,3.45e-06,16.4
corundum-20-bb,2600,1000,16,0.256,3.62e-06,16.4
corundum-20-bb,2600,1000,17,0.273,3.8e-06,16.3
corundum-20-bb,2600,1000,18,0.291,3.98e-06,16.2
corundum-20-bb,2600,1000,19,0.31,4.18e-06,16.0
corundum-20-bb,2600,1000,20,0.33,4.38e-06,15.9
corundum-20-bb,2600,1000,21,0.351,4.58e-06,15.8
corundum-20-bb,2600,1000,22,0.374,4.8e-06,15.6
corundum-20-bb,2600,1000,23,0.398,5.03e-06,15.4
corundum-20-bb,2600,1000,24,0.424,5.26e-06,15.2
corundum-20-bb,2600,1000,25,0.451,5.5e-06,15.0
corundum-20-bb,2600,1000,26,0.48,5.75e-06,14.8
corundum-20-bb,2600,1000,27,0.511,6.01e-06,14.6
corundum-20-bb,2600,1000,28,0.545,6.28e-06,14.3
corundum-20-bb,2600,1000,29,0.58,6.56e-06,14.1
corundum-20-bb,2600,1000,30,0.617,6.85e-06,13.8
corundum-20-bb,2600,1000,31,0.657,7.15e-06,13.6
corundum-20-bb,2600,1000,32,0.7,7.46e-06,13.3
corundum-20-bb,2600,1000,33,0.745,7.78e-06,13.0
corundum-20-bb,2600,1000,34,0.794,8.12e-06,12.7
corundum-20-bb,2600,1000,35,0.845,8.51e-06,12.6
corundum-20-bb,2600,1000,36,0.9,8.92e-06,12.4
corundum-20-bb,2600,1000,37,0.958,9.35e-06,12.2
corundum-20-bb,2600,1000,38,1.02,9.79e-06,12.1
corundum-20-bb,2600,1000,39,1.09,1.03e-05,11.9
corundum-20-bb,2600,1000,40,1.16,1.08e-05,11.7
corundum-20-bb,2600,1000,41,1.23,1.13e-05,11.6
corundum-20-bb,2600,1000,42,1.31,1.17e-05,11.4
corundum-20-bb,2600,1000,43,1.4,1.22e-05,11.2
corundum-20-bb,2600,1000,44,1.49,1.28e-05,11.1
corundum-20-bb,2600,1000,45,1.58,1.35e-05,11.0
corundum-20-bb,2600,1000,46,1.69,1.42e-05,10.8
corundum-20-bb,2600,1000,47,1.8,1.48e-05,10.6
corundum-20-bb,2600,1000,48,1.91,1.56e-05,10.5
corundum-20-bb,2600,1000,49,2.04,1.63e-05,10.3
corundum-20-bb,2600,1000,50,2.17,1.71e-05,10.2
corundum-20-bb,2600,1000,51,2.31,1.79e-05,10.0
corundum-20-bb,2600,1000,52,2.46,1.88e-05,9.86
corundum-20-bb,2600,1000,53,2.62,1.94e-05,9.77
corundum-20-bb,2600,1000,54,2.79,2.04e-05,9.63
corundum-20-bb,2600,1000,55,2.97,2.14e-05,9.49
corundum-20-bb,2600,1000,56,3.16,2.24e-05,9.36
corundum-20-bb,2600,1000,57,3.36,2.35e-05,9.24
corundum-20-bb,2600,1000,58,3.58,2.46e-05,9.12
corundum-20-bb,2600,1000,59,3.81,2.6e-05,9.07
corundum-20-bb,2600,1000,60,4.06,2.73e-05,8.96
corundum-20-bb,2600,1000,61,4.32,2.85e-05,9.06
corundum-20-bb,2600,1000,62,4.6,2.99e-05,8.95
corundum-20-bb,2600,1000,63,4.9,3.14e-05,8.85
corundum-20-bb,2600,1000,64,5.22,3.3e-05,8.75
corundum-20-bb,2600,1000,65,5.56,3.46e-05,8.66
corundum-20-bb,2600,1000,66,5.92,3.63e-05,8.57
corundum-20-bb,2600,1000,67,6.3,3.82e-05,8.48
corundum-20-bb,2600,1000,68,6.71,4.01e-05,8.39
corundum-20-bb,2600,1000,69,7.14,4.21e-05,8.31
corundum-20-bb,2600,1000,70,7.61,4.37e-05,8.28
corundum-20-bb,2600,1000,71,8.1,4.6e-05,8.2
corundum-20-bb,2600,1000,72,8.62,4.83e-05,8.13
corundum-20-bb,2600,1000,73,9.18,5.09e-05,8.06
corundum-20-bb,2600,1000,74,9.78,5.36e-05,7.99
corundum-20-bb,2600,1000,75,10.4,5.65e-05,7.91
corundum-20-bb,2600,1000,76,11.1,5.95e-05,7.85
corundum-20-bb,2600,1000,77,11.8,6.28e-05,7.78
corundum-20-bb,2600,1000,78,12.6,6.62e-05,7.72
corundum-20-bb,2600,1000,79,13.4,6.99e-05,7.66
corundum-20-bb,2600,1000,80,14.2,7.38e-05,7.59
corundum-20-bb,2600,1000,81,15.2,7.8e-05,7.53
corundum-20-bb,2600,1000,82,16.2,8.24e-05,7.47
corundum-20-bb,2600,1000,83,17.2,8.72e-05,7.42
