wavelength,flux,error,strip,errrms,errsys,errcal
5.236245,0.066754,0.010937,2,0.010937,0.0,8.56E-4
5.249093,0.066319,0.009823,2,0.009823,0.0,3.4E-4
5.267233,0.069091,0.021583,2,0.01169,0.009893,8.38E-4
5.280081,0.067675,0.020073,2,0.010179,0.009893,4.14E-4
5.298222,0.069732,0.017364,2,0.010533,0.006831,6.34E-4
5.311069,0.066624,0.016568,2,0.009737,0.006831,3.91E-4
5.329209,0.069621,0.016375,2,0.009544,0.006831,3.92E-4
5.342057,0.070719,0.01599,2,0.009159,0.006831,2.7E-4
5.360197,0.07227,0.015916,2,0.009085,0.006831,3.37E-4
5.373044,0.073292,0.015962,2,0.009131,0.006831,2.73E-4
5.391185,0.069005,0.008738,2,0.008738,0.0,3.18E-4
5.404032,0.068168,0.008978,2,0.008978,0.0,3.47E-4
5.422173,0.068348,0.008432,2,0.008432,0.0,3.63E-4
5.45316,0.074559,0.010319,2,0.008149,0.00217,4.94E-4
5.466008,0.070998,0.010099,2,0.007929,0.00217,3.84E-4
5.496995,0.066697,0.007345,2,0.007345,0.0,3.45E-4
5.515135,0.069772,0.007065,2,0.007065,0.0,2.61E-4
5.546123,0.065629,0.009087,2,0.006917,0.00217,2.42E-4
5.55897,0.066529,0.009073,2,0.006903,0.00217,2.5E-4
5.57711,0.066664,0.010933,2,0.006869,0.004064,2.57E-4
5.589957,0.068234,0.010894,2,0.00683,0.004064,2.32E-4
5.608097,0.07344,0.012172,2,0.007013,0.005159,3.32E-4
5.620944,0.072254,0.0119,2,0.006742,0.005159,2.72E-4
5.651932,0.067741,0.006541,2,0.006541,0.0,2.98E-4
5.670072,0.069895,0.006613,2,0.006613,0.0,3.48E-4
5.701058,0.06324,0.006468,2,0.006468,0.0,2.99E-4
5.713906,0.064737,0.006169,2,0.006169,0.0,2.22E-4
5.744893,0.066812,0.006402,2,0.006402,0.0,2.35E-4
5.763032,0.073249,0.007563,2,0.007563,0.0,3.09E-4
5.775879,0.068395,0.006731,2,0.006731,0.0,2.52E-4
5.794019,0.068986,0.007876,2,0.007876,0.0,2.89E-4
5.806866,0.069721,0.007132,2,0.007132,0.0,2.56E-4
5.825006,0.066094,0.012589,2,0.008383,0.004206,3.34E-4
5.837853,0.063173,0.011451,2,0.007245,0.004206,2.1E-4
5.855993,0.065417,0.0085,2,0.0085,0.0,3.45E-4
5.86884,0.0655,0.007508,2,0.007508,0.0,2.15E-4
5.88698,0.07366,0.013192,2,0.008987,0.004206,3.69E-4
5.899827,0.069759,0.012229,2,0.008023,0.004206,2.13E-4
5.917966,0.067164,0.009089,2,0.009089,0.0,3.7E-4
5.930813,0.069065,0.008412,2,0.008412,0.0,2.31E-4
5.948952,0.07188,0.009544,2,0.009544,0.0,4.58E-4
5.9618,0.069802,0.008826,2,0.008826,0.0,2.59E-4
5.979939,0.068895,0.009418,2,0.009418,0.0,3.52E-4
5.992786,0.063985,0.008859,2,0.008859,0.0,2.56E-4
6.010925,0.0816,0.0119,2,0.009753,0.002147,3.89E-4
6.023772,0.072923,0.011522,2,0.009375,0.002147,2.99E-4
6.041912,0.070311,0.012034,2,0.009216,0.002819,3.44E-4
6.054759,0.069377,0.012027,2,0.009208,0.002819,2.95E-4
6.072897,0.067848,0.008738,2,0.008738,0.0,2.79E-4
6.085744,0.072812,0.009218,2,0.009218,0.0,3.05E-4
6.103884,0.068475,0.008444,2,0.008444,0.0,2.89E-4
6.116731,0.069047,0.008989,2,0.008989,0.0,2.94E-4
6.13487,0.076654,0.008452,2,0.008452,0.0,3.35E-4
