grid_name,teff,tinner,number,odep,mdot,vexp
fifth-iron,3400,1000,1,0.1,1.52e-06,13.7
fifth-iron,3400,1000,2,0.604,5.41e-06,10.6
fifth-iron,3400,1000,3,1.11,8.33e-06,9.63
fifth-iron,3400,1000,4,1.61,1.11e-05,9.2
fifth-iron,3400,1000,5,2.12,1.37e-05,8.89
fifth-iron,3400,1000,6,2.62,1.61e-05,8.7
fifth-iron,3400,1000,7,3.12,1.85e-05,8.52
fifth-iron,3400,1000,8,3.63,2.1e-05,8.57
fifth-iron,3400,1000,9,4.13,2.33e-05,8.45
fifth-iron,3400,1000,10,4.64,2.57e-05,8.34
fifth-iron,3400,1000,11,5.14,2.8e-05,8.24
fifth-iron,3400,1000,12,5.64,3.03e-05,8.16
fifth-iron,3400,1000,13,6.15,3.26e-05,8.08
fifth-iron,3400,1000,14,6.65,3.43e-05,8.05
fifth-iron,3400,1000,15,7.16,3.66e-05,7.98
fifth-iron,3400,1000,16,7.66,3.88e-05,7.92
fifth-iron,3400,1000,17,8.16,4.11e-05,7.86
fifth-iron,3400,1000,18,8.67,4.33e-05,7.8
fifth-iron,3400,1000,19,9.17,4.56e-05,7.75
fifth-iron,3400,1000,20,9.68,4.78e-05,7.7
fifth-iron,3400,1000,21,10.2,5.01e-05,7.65
fifth-iron,3400,1000,22,10.7,5.24e-05,7.61
fifth-iron,3400,1000,23,11.2,5.46e-05,7.57
fifth-iron,3400,1000,24,11.7,5.69e-05,7.53
fifth-iron,3400,1000,25,12.2,5.92e-05,7.49
fifth-iron,3400,1000,26,12.7,6.15e-05,7.45
fifth-iron,3400,1000,27,13.2,6.38e-05,7.42
fifth-iron,3400,1000,28,13.7,6.61e-05,7.38
fifth-iron,3400,1000,29,14.2,6.84e-05,7.35
fifth-iron,3400,1000,30,14.7,7.07e-05,7.32
fifth-iron,3400,1000,31,15.2,7.3e-05,7.29
fifth-iron,3400,1000,32,15.7,7.53e-05,7.26
fifth-iron,3400,1000,33,16.2,7.77e-05,7.23
fifth-iron,3400,1000,34,16.7,8.01e-05,7.2
fifth-iron,3400,1000,35,17.2,8.24e-05,7.18
fifth-iron,3400,1000,36,17.7,8.48e-05,7.15
fifth-iron,3400,1000,37,18.2,8.67e-05,7.18
fifth-iron,3400,1000,38,18.7,8.9e-05,7.15
fifth-iron,3400,1000,39,19.3,9.14e-05,7.13
fifth-iron,3400,1000,40,19.8,9.38e-05,7.11
fifth-iron,3400,1000,41,20.3,9.62e-05,7.08
fifth-iron,3400,1000,42,20.8,9.86e-05,7.06
fifth-iron,3400,1000,43,21.3,0.000101,7.04
fifth-iron,3400,1000,44,21.8,0.000103,7.01
fifth-iron,3400,1000,45,22.3,0.000106,6.99
fifth-iron,3400,1000,46,22.8,0.000108,6.97
fifth-iron,3400,1000,47,23.3,0.000111,6.95
fifth-iron,3400,1000,48,23.8,0.000113,6.93
fifth-iron,3400,1000,49,24.3,0.000116,6.91
fifth-iron,3400,1000,50,24.8,0.000118,6.88
fifth-iron,3400,1000,51,25.3,0.000121,6.86
fifth-iron,3400,1000,52,25.8,0.000123,6.84
fifth-iron,3400,1000,53,26.3,0.000126,6.82
fifth-iron,3400,1000,54,26.8,0.000128,6.8
fifth-iron,3400,1000,55,27.3,0.000131,6.78
fifth-iron,3400,1000,56,27.8,0.000133,6.77
fifth-iron,3400,1000,57,28.3,0.000136,6.75
