WAVE,FLUX,ERR,ERRSYS
14.0693502426,5.5824003,0.056066982,0
14.1540298462,6.2847157,0.05757002,0
14.2387104034,6.358916,0.05659786,0.010530823
14.3233804703,6.3078766,0.055028543,0.0046080053
14.4080600739,6.4218545,0.055620298,0
14.4927396774,6.4933243,0.055616703,0.0021441036
14.5774097443,6.501535,0.055785034,0.0045928955
14.6620903015,6.606478,0.057157345,0.0045928955
14.7467699051,6.541178,0.057266504,0.003816966
14.8314504623,6.456709,0.056514483,0.0011907582
14.9161195755,6.404063,0.05536175,0.017082214
15.0008001328,6.263065,0.053275265,0.017082214
15.0854797363,6.38559,0.052515894,0.02598238
15.1701498032,6.6027036,0.05385461,0.0007729754
15.2548303604,6.527473,0.053709973,0.03234636
15.339509964,6.284918,0.05230807,0.008476082
15.4241800308,6.2980604,0.051750444,0
15.5088596344,6.3004203,0.050956976,0
15.5935401917,6.3497014,0.050990943,0.007939593
15.6782102585,6.313773,0.05067998,0.016754627
15.7628898621,6.3402185,0.05112325,0.016754627
15.8475704193,6.4526644,0.052887347,0.020816185
15.9322395325,6.548042,0.05558521,0.03748452
16.0169200897,6.3627,0.056442674,0.0006960444
16.101600647,6.183667,0.05623506,0
16.1862792969,6.2649827,0.057417132,0
16.2709503174,6.410935,0.059531074,0.068738334
16.3556308746,6.346896,0.06077782,0.022755668
16.4403095245,6.2832365,0.05988053,0
16.524980545,6.2233124,0.057435397,0
16.6096591949,6.2567205,0.05624897,0
16.6943397522,6.36593,0.057232805,0
16.7790107727,6.4344954,0.058642883,0.030913992
16.8636894226,6.4180784,0.059312545,0.04239869
16.9483699799,6.2848334,0.0581042,0
17.033039093,6.2306046,0.05559343,0
17.1177196503,6.3011227,0.055246457,0
17.2024002075,6.445714,0.055756327,0.06734562
17.2870693207,6.4851985,0.057280786,0.11683321
17.3717498779,6.3182025,0.05658629,0.0018302053
17.4564304352,6.264624,0.05584437,0
17.5411090851,6.3886123,0.055539157,0.104497395
17.6257801056,6.4459305,0.05575791,0.1017468
17.7104606628,6.474759,0.05649379,0.03612389
17.7951393127,6.4565873,0.05736212,0
17.8798103333,6.41582,0.057643116,0
17.9644908905,6.3099008,0.05746771,0.06467082
18.0491695404,6.206365,0.056425545,0.121475
18.1338405609,6.2947865,0.055601664,0.030798275
