 ===========================
  Output from program Dusty 
  Version: 2.0
 ===========================
  
  INPUT parameters from file:
  year4_3700_350.inp                                                    
  
* ----------------------------------------------------------------------
* NOTES:
* This is a simple version of an input file producing a minimal output.
* ----------------------------------------------------------------------
  Central source spectrum described by a black body                       
  with temperature: 3700 K
  --------------------------------------------
  Abundances for supported grains:
  Sil-Ow Sil-Oc Sil-DL grf-DL amC-Hn SiC-Pg
  1.000  0.000  0.000  0.000  0.000  0.000
  MRN size distribution:
       Power q:  3.5
  Minimal size: 5.00E-03 microns
  Maximal size: 2.50E-01 microns
  --------------------------------------------
  Dust temperature on the inner boundary: 350  K
  --------------------------------------------
  Density for radiatively driven winds from
  full dynamic calculation.
  Relative thickness: 1.000E+04
  --------------------------------------------
  Optical depths at 1.0E+01 microns
  ranging from 1.00E-01 to 5.00E+01
  100 models with logarithmic grid           
  Required accuracy: 5%
  --------------------------------------------
  
  ====================================================  
  For compliance with the point-source assumption, the
  following results should only be applied to sources 
  whose effective temperature exceeds 708  K.
  ====================================================
          
  RESULTS:
  --------
 ###   tau0   F1(W/m2)  r1(cm)    r1/rc   theta1  Td(Y) err   Mdot      Ve       M> 
 ###     1        2        3        4        5      6    7      8        9       10 
 ======================================================================================
   1 1.00E-01 6.72E+02 2.13E+15 1.26E+02 1.59E+01   12   0  7.61E-06 7.11E+00 3.06E+00
   2 1.06E-01 6.63E+02 2.15E+15 1.27E+02 1.60E+01   12   0  7.99E-06 7.11E+00 3.11E+00
   3 1.13E-01 6.51E+02 2.17E+15 1.28E+02 1.62E+01   12   0  8.49E-06 7.14E+00 3.16E+00
   4 1.21E-01 6.42E+02 2.18E+15 1.29E+02 1.63E+01   11   0  8.91E-06 7.13E+00 3.21E+00
   5 1.29E-01 6.33E+02 2.20E+15 1.30E+02 1.64E+01   11   0  9.35E-06 7.11E+00 3.25E+00
   6 1.37E-01 6.23E+02 2.22E+15 1.31E+02 1.65E+01   11   0  9.81E-06 7.09E+00 3.29E+00
   7 1.46E-01 6.14E+02 2.23E+15 1.32E+02 1.67E+01   11   0  1.03E-05 7.06E+00 3.32E+00
   8 1.55E-01 6.04E+02 2.25E+15 1.33E+02 1.68E+01   11   0  1.08E-05 7.02E+00 3.35E+00
   9 1.65E-01 5.95E+02 2.27E+15 1.34E+02 1.69E+01   11   0  1.13E-05 6.98E+00 3.38E+00
  10 1.76E-01 5.86E+02 2.28E+15 1.35E+02 1.70E+01   11   0  1.18E-05 6.92E+00 3.41E+00
  11 1.87E-01 5.77E+02 2.30E+15 1.36E+02 1.72E+01   11   0  1.24E-05 6.87E+00 3.43E+00
  12 1.99E-01 5.68E+02 2.32E+15 1.37E+02 1.73E+01   11   0  1.30E-05 6.80E+00 3.45E+00
  13 2.12E-01 5.59E+02 2.34E+15 1.38E+02 1.75E+01   11   0  1.36E-05 6.73E+00 3.46E+00
  14 2.26E-01 5.50E+02 2.36E+15 1.39E+02 1.76E+01   11   0  1.42E-05 6.65E+00 3.47E+00
  15 2.41E-01 5.41E+02 2.38E+15 1.40E+02 1.77E+01   11   0  1.48E-05 6.56E+00 3.47E+00
  16 2.56E-01 5.32E+02 2.40E+15 1.41E+02 1.79E+01   11   0  1.55E-05 6.47E+00 3.47E+00
  17 2.73E-01 5.24E+02 2.42E+15 1.42E+02 1.80E+01   11   0  1.62E-05 6.37E+00 3.47E+00
  18 2.91E-01 5.16E+02 2.44E+15 1.44E+02 1.82E+01   11   0  1.69E-05 6.26E+00 3.46E+00
  19 3.10E-01 5.08E+02 2.45E+15 1.45E+02 1.83E+01   10   0  1.76E-05 6.15E+00 3.45E+00
  20 3.30E-01 5.00E+02 2.47E+15 1.46E+02 1.85E+01   10   0  1.84E-05 6.03E+00 3.43E+00
  21 3.51E-01 4.92E+02 2.49E+15 1.47E+02 1.86E+01   10   0  1.91E-05 5.91E+00 3.41E+00
  22 3.74E-01 4.85E+02 2.51E+15 1.48E+02 1.87E+01   10   0  1.99E-05 5.78E+00 3.38E+00
  23 3.98E-01 4.78E+02 2.53E+15 1.49E+02 1.89E+01   10   0  2.07E-05 5.65E+00 3.35E+00
  24 4.24E-01 4.71E+02 2.55E+15 1.50E+02 1.90E+01   10   0  2.15E-05 5.51E+00 3.31E+00
  25 4.51E-01 4.64E+02 2.57E+15 1.51E+02 1.92E+01   10   0  2.24E-05 5.37E+00 3.28E+00
  26 4.80E-01 4.57E+02 2.59E+15 1.53E+02 1.93E+01   10   0  2.32E-05 5.22E+00 3.23E+00
  27 5.11E-01 4.50E+02 2.61E+15 1.54E+02 1.94E+01   10   0  2.42E-05 5.12E+00 3.20E+00
  28 5.45E-01 4.44E+02 2.62E+15 1.55E+02 1.96E+01   10   0  2.52E-05 5.03E+00 3.17E+00
  29 5.80E-01 4.38E+02 2.64E+15 1.56E+02 1.97E+01   10   0  2.63E-05 4.94E+00 3.14E+00
  30 6.17E-01 4.32E+02 2.66E+15 1.57E+02 1.99E+01   10   0  2.75E-05 4.85E+00 3.10E+00
  31 6.57E-01 4.26E+02 2.68E+15 1.58E+02 2.00E+01   10   0  2.86E-05 4.76E+00 3.06E+00
  32 7.00E-01 4.21E+02 2.70E+15 1.59E+02 2.01E+01   10   0  2.99E-05 4.67E+00 3.02E+00
  33 7.45E-01 4.15E+02 2.71E+15 1.60E+02 2.03E+01    9   0 3.11E-05 4.58E+00 2.98E+00
  34 7.94E-01 4.10E+02 2.73E+15 1.61E+02 2.04E+01    9   0 3.24E-05 4.49E+00 2.93E+00
  35 8.45E-01 4.05E+02 2.75E+15 1.62E+02 2.05E+01    9   0 3.38E-05 4.40E+00 2.89E+00
  36 9.00E-01 3.99E+02 2.77E+15 1.63E+02 2.06E+01    9   0 3.52E-05 4.31E+00 2.84E+00
  37 9.58E-01 3.93E+02 2.79E+15 1.64E+02 2.08E+01    9   0 3.67E-05 4.23E+00 2.78E+00
  38 1.02E+00 3.88E+02 2.81E+15 1.65E+02 2.09E+01    9   0 3.82E-05 4.14E+00 2.73E+00
  39 1.09E+00 3.84E+02 2.82E+15 1.66E+02 2.11E+01    9   0 3.98E-05 4.06E+00 2.67E+00
  40 1.16E+00 3.79E+02 2.84E+15 1.68E+02 2.12E+01    9   0 4.14E-05 3.97E+00 2.62E+00
  41 1.23E+00 3.74E+02 2.86E+15 1.69E+02 2.13E+01    9   0 4.31E-05 3.88E+00 2.57E+00
  42 1.31E+00 3.71E+02 2.87E+15 1.69E+02 2.14E+01    9   0 4.44E-05 3.81E+00 2.53E+00
  43 1.40E+00 3.67E+02 2.89E+15 1.70E+02 2.15E+01    9   0 4.63E-05 3.73E+00 2.47E+00
  44 1.49E+00 3.63E+02 2.90E+15 1.71E+02 2.17E+01    9   0 4.82E-05 3.65E+00 2.42E+00
  45 1.58E+00 3.58E+02 2.92E+15 1.72E+02 2.18E+01    9   0 5.03E-05 3.57E+00 2.36E+00
  46 1.69E+00 3.53E+02 2.94E+15 1.73E+02 2.19E+01    9   0 5.26E-05 3.53E+00 2.29E+00
  47 1.80E+00 3.49E+02 2.96E+15 1.75E+02 2.21E+01    9   0 5.48E-05 3.46E+00 2.24E+00
  48 1.91E+00 3.45E+02 2.98E+15 1.76E+02 2.22E+01    9   0 5.71E-05 3.38E+00 2.18E+00
  49 2.04E+00 3.41E+02 2.99E+15 1.77E+02 2.23E+01    9   0 5.95E-05 3.31E+00 2.13E+00
  50 2.17E+00 3.37E+02 3.01E+15 1.78E+02 2.25E+01    8   0 6.20E-05 3.25E+00 2.08E+00
  51 2.31E+00 3.33E+02 3.03E+15 1.79E+02 2.26E+01    8   0 6.46E-05 3.18E+00 2.03E+00
  52 2.46E+00 3.30E+02 3.05E+15 1.80E+02 2.27E+01    8   0 6.74E-05 3.11E+00 1.98E+00
  53 2.62E+00 3.26E+02 3.06E+15 1.81E+02 2.29E+01    8   0 7.02E-05 3.05E+00 1.93E+00
  54 2.79E+00 3.23E+02 3.08E+15 1.81E+02 2.30E+01    8   1 7.25E-05 3.01E+00 1.89E+00
  55 2.97E+00 3.19E+02 3.09E+15 1.83E+02 2.31E+01    8   1 7.56E-05 2.95E+00 1.85E+00
  56 3.16E+00 3.15E+02 3.11E+15 1.84E+02 2.32E+01    8   1 7.89E-05 2.89E+00 1.80E+00
  57 3.36E+00 3.12E+02 3.13E+15 1.85E+02 2.34E+01    8   1 8.23E-05 2.84E+00 1.76E+00
  58 3.58E+00 3.08E+02 3.15E+15 1.86E+02 2.35E+01    8   1 8.59E-05 2.79E+00 1.72E+00
  59 3.81E+00 3.03E+02 3.17E+15 1.87E+02 2.37E+01    8   1 9.01E-05 2.78E+00 1.66E+00
  60 4.06E+00 3.00E+02 3.19E+15 1.88E+02 2.38E+01    8   1 9.41E-05 2.73E+00 1.62E+00
  61 4.32E+00 2.97E+02 3.21E+15 1.89E+02 2.39E+01    8   0 9.78E-05 2.78E+00 1.56E+00
  62 4.60E+00 2.93E+02 3.23E+15 1.90E+02 2.41E+01    8   0 1.02E-04 2.73E+00 1.52E+00
  63 4.90E+00 2.89E+02 3.25E+15 1.92E+02 2.43E+01    8   0 1.07E-04 2.69E+00 1.48E+00
  64 5.22E+00 2.86E+02 3.27E+15 1.93E+02 2.44E+01    8   0 1.11E-04 2.65E+00 1.45E+00
  65 5.56E+00 2.82E+02 3.29E+15 1.94E+02 2.46E+01    8   0 1.17E-04 2.61E+00 1.42E+00
  66 5.92E+00 2.78E+02 3.32E+15 1.96E+02 2.47E+01    8   0 1.22E-04 2.57E+00 1.38E+00
  67 6.30E+00 2.74E+02 3.34E+15 1.97E+02 2.49E+01    8   0 1.27E-04 2.54E+00 1.35E+00
  68 6.71E+00 2.71E+02 3.36E+15 1.98E+02 2.51E+01    8   0 1.33E-04 2.50E+00 1.32E+00
  69 7.14E+00 2.67E+02 3.39E+15 2.00E+02 2.53E+01    7   0 1.40E-04 2.46E+00 1.29E+00
