 ===========================
  Output from program Dusty 
  Version: 2.0
 ===========================
  
  INPUT parameters from file:
  year4_3000_600.inp                                                    
  
* ----------------------------------------------------------------------
* NOTES:
* This is a simple version of an input file producing a minimal output.
* ----------------------------------------------------------------------
  Central source spectrum described by a black body                       
  with temperature: 3000 K
  --------------------------------------------
  Abundances for supported grains:
  Sil-Ow Sil-Oc Sil-DL grf-DL amC-Hn SiC-Pg
  1.000  0.000  0.000  0.000  0.000  0.000
  MRN size distribution:
       Power q:  3.5
  Minimal size: 5.00E-03 microns
  Maximal size: 2.50E-01 microns
  --------------------------------------------
  Dust temperature on the inner boundary: 600  K
  --------------------------------------------
  Density for radiatively driven winds from
  full dynamic calculation.
  Relative thickness: 1.000E+04
  --------------------------------------------
  Optical depths at 1.0E+01 microns
  ranging from 1.00E-01 to 5.00E+01
  100 models with logarithmic grid           
  Required accuracy: 5%
  --------------------------------------------
  
  ====================================================  
  For compliance with the point-source assumption, the
  following results should only be applied to sources 
  whose effective temperature exceeds 1243 K.
  ====================================================
          
  RESULTS:
  --------
 ###   tau0   F1(W/m2)  r1(cm)    r1/rc   theta1  Td(Y) err   Mdot      Ve       M> 
 ###     1        2        3        4        5      6    7      8        9       10 
 ======================================================================================
   1 1.00E-01 6.84E+03 6.69E+14 2.59E+01 4.99E+00   16   0  3.53E-06 1.07E+01 2.10E+00
   2 1.06E-01 6.76E+03 6.72E+14 2.61E+01 5.02E+00   16   0  3.71E-06 1.07E+01 2.14E+00
   3 1.13E-01 6.66E+03 6.78E+14 2.63E+01 5.06E+00   16   0  3.95E-06 1.08E+01 2.18E+00
   4 1.21E-01 6.58E+03 6.82E+14 2.64E+01 5.09E+00   16   0  4.15E-06 1.08E+01 2.22E+00
   5 1.29E-01 6.49E+03 6.86E+14 2.66E+01 5.12E+00   16   0  4.36E-06 1.08E+01 2.26E+00
   6 1.37E-01 6.41E+03 6.91E+14 2.68E+01 5.15E+00   16   0  4.58E-06 1.08E+01 2.29E+00
   7 1.46E-01 6.33E+03 6.95E+14 2.70E+01 5.19E+00   16   0  4.81E-06 1.08E+01 2.32E+00
   8 1.55E-01 6.24E+03 7.00E+14 2.71E+01 5.22E+00   16   0  5.05E-06 1.08E+01 2.36E+00
   9 1.65E-01 6.15E+03 7.05E+14 2.73E+01 5.26E+00   16   0  5.30E-06 1.08E+01 2.39E+00
  10 1.76E-01 6.06E+03 7.10E+14 2.75E+01 5.30E+00   16   0  5.57E-06 1.07E+01 2.42E+00
  11 1.87E-01 5.98E+03 7.15E+14 2.77E+01 5.34E+00   16   0  5.84E-06 1.07E+01 2.44E+00
  12 1.99E-01 5.89E+03 7.21E+14 2.79E+01 5.38E+00   16   0  6.13E-06 1.06E+01 2.47E+00
  13 2.12E-01 5.80E+03 7.26E+14 2.82E+01 5.42E+00   16   0  6.43E-06 1.06E+01 2.49E+00
  14 2.26E-01 5.71E+03 7.32E+14 2.84E+01 5.46E+00   16   0  6.74E-06 1.05E+01 2.51E+00
  15 2.41E-01 5.62E+03 7.37E+14 2.86E+01 5.50E+00   16   0  7.06E-06 1.04E+01 2.52E+00
  16 2.56E-01 5.53E+03 7.43E+14 2.88E+01 5.55E+00   15   0  7.40E-06 1.03E+01 2.54E+00
  17 2.73E-01 5.45E+03 7.49E+14 2.90E+01 5.59E+00   15   0  7.75E-06 1.02E+01 2.55E+00
  18 2.91E-01 5.36E+03 7.55E+14 2.93E+01 5.63E+00   15   0  8.11E-06 1.01E+01 2.56E+00
  19 3.10E-01 5.28E+03 7.61E+14 2.95E+01 5.68E+00   15   0  8.49E-06 1.00E+01 2.56E+00
  20 3.30E-01 5.19E+03 7.67E+14 2.98E+01 5.73E+00   15   0  8.88E-06 9.88E+00 2.57E+00
  21 3.51E-01 5.11E+03 7.74E+14 3.00E+01 5.77E+00   15   0  9.28E-06 9.74E+00 2.57E+00
  22 3.74E-01 5.03E+03 7.80E+14 3.02E+01 5.82E+00   15   0  9.70E-06 9.59E+00 2.56E+00
  23 3.98E-01 4.95E+03 7.86E+14 3.05E+01 5.87E+00   15   0  1.01E-05 9.43E+00 2.56E+00
  24 4.24E-01 4.87E+03 7.92E+14 3.07E+01 5.91E+00   15   0  1.06E-05 9.27E+00 2.55E+00
  25 4.51E-01 4.79E+03 7.99E+14 3.10E+01 5.96E+00   15   0  1.10E-05 9.09E+00 2.53E+00
  26 4.80E-01 4.72E+03 8.05E+14 3.12E+01 6.01E+00   15   0  1.15E-05 8.91E+00 2.52E+00
  27 5.11E-01 4.64E+03 8.11E+14 3.15E+01 6.05E+00   14   0  1.20E-05 8.72E+00 2.50E+00
  28 5.45E-01 4.57E+03 8.18E+14 3.17E+01 6.10E+00   14   0  1.25E-05 8.52E+00 2.48E+00
  29 5.80E-01 4.50E+03 8.24E+14 3.20E+01 6.15E+00   14   0  1.30E-05 8.32E+00 2.45E+00
  30 6.17E-01 4.43E+03 8.31E+14 3.22E+01 6.20E+00   14   0  1.35E-05 8.11E+00 2.43E+00
  31 6.57E-01 4.37E+03 8.37E+14 3.24E+01 6.24E+00   14   0  1.41E-05 7.94E+00 2.40E+00
  32 7.00E-01 4.30E+03 8.43E+14 3.27E+01 6.29E+00   14   0  1.47E-05 7.82E+00 2.38E+00
  33 7.45E-01 4.23E+03 8.50E+14 3.29E+01 6.34E+00   14   0  1.54E-05 7.70E+00 2.36E+00
  34 7.94E-01 4.17E+03 8.56E+14 3.32E+01 6.39E+00   14   0  1.61E-05 7.57E+00 2.34E+00
  35 8.45E-01 4.11E+03 8.63E+14 3.34E+01 6.44E+00   14   0  1.68E-05 7.45E+00 2.32E+00
  36 9.00E-01 4.05E+03 8.69E+14 3.37E+01 6.48E+00   14   0  1.76E-05 7.32E+00 2.29E+00
  37 9.58E-01 3.99E+03 8.75E+14 3.39E+01 6.53E+00   14   0  1.84E-05 7.19E+00 2.26E+00
  38 1.02E+00 3.93E+03 8.82E+14 3.42E+01 6.58E+00   14   0  1.92E-05 7.07E+00 2.23E+00
