 ===========================
  Output from program Dusty 
  Version: 2.0
 ===========================
  
  INPUT parameters from file:
  year4_3300_350.inp                                                    
  
* ----------------------------------------------------------------------
* NOTES:
* This is a simple version of an input file producing a minimal output.
* ----------------------------------------------------------------------
  Central source spectrum described by a black body                       
  with temperature: 3300 K
  --------------------------------------------
  Abundances for supported grains:
  Sil-Ow Sil-Oc Sil-DL grf-DL amC-Hn SiC-Pg
  1.000  0.000  0.000  0.000  0.000  0.000
  MRN size distribution:
       Power q:  3.5
  Minimal size: 5.00E-03 microns
  Maximal size: 2.50E-01 microns
  --------------------------------------------
  Dust temperature on the inner boundary: 350  K
  --------------------------------------------
  Density for radiatively driven winds from
  full dynamic calculation.
  Relative thickness: 1.000E+04
  --------------------------------------------
  Optical depths at 1.0E+01 microns
  ranging from 1.00E-01 to 5.00E+01
  100 models with logarithmic grid           
  Required accuracy: 5%
  --------------------------------------------
  
  ====================================================  
  For compliance with the point-source assumption, the
  following results should only be applied to sources 
  whose effective temperature exceeds 742  K.
  ====================================================
          
  RESULTS:
  --------
 ###   tau0   F1(W/m2)  r1(cm)    r1/rc   theta1  Td(Y) err   Mdot      Ve       M> 
 ###     1        2        3        4        5      6    7      8        9       10 
 ======================================================================================
   1 1.00E-01 8.38E+02 1.91E+15 8.96E+01 1.43E+01   12   0  6.52E-06 6.85E+00 2.51E+00
   2 1.06E-01 8.27E+02 1.92E+15 9.02E+01 1.43E+01   12   0  6.85E-06 6.86E+00 2.55E+00
   3 1.13E-01 8.13E+02 1.94E+15 9.10E+01 1.45E+01   12   0  7.29E-06 6.91E+00 2.60E+00
   4 1.21E-01 8.02E+02 1.95E+15 9.16E+01 1.46E+01   12   0  7.65E-06 6.91E+00 2.64E+00
   5 1.29E-01 7.91E+02 1.97E+15 9.22E+01 1.47E+01   12   0  8.04E-06 6.91E+00 2.68E+00
   6 1.37E-01 7.80E+02 1.98E+15 9.29E+01 1.48E+01   12   0  8.44E-06 6.90E+00 2.72E+00
   7 1.46E-01 7.69E+02 1.99E+15 9.35E+01 1.49E+01   12   0  8.86E-06 6.88E+00 2.75E+00
   8 1.55E-01 7.58E+02 2.01E+15 9.42E+01 1.50E+01   11   0  9.30E-06 6.86E+00 2.79E+00
   9 1.65E-01 7.47E+02 2.02E+15 9.49E+01 1.51E+01   11   0  9.75E-06 6.83E+00 2.82E+00
  10 1.76E-01 7.35E+02 2.04E+15 9.57E+01 1.52E+01   11   0  1.02E-05 6.80E+00 2.84E+00
